"date","Albania","Austria","Belgium","Bulgaria","Croatia","Cyprus","Czechia","Denmark","Estonia","Euro area","European Union (current composition)","Finland","France","Germany","Greece","Hungary","Ireland","Italy","Latvia","Lithuania","Luxembourg","Malta","Montenegro","Netherlands","North Macedonia","Poland","Portugal","Romania","Serbia","Slovak Republic","Slovenia","Spain","Sweden","Turkey","United Kingdom"
1991-10-01,NA,NA,24.6,NA,NA,NA,NA,30.5,NA,37.2,37.1,26,55.9,28,48.4,NA,49,42,NA,NA,NA,NA,NA,34.6,NA,NA,8.1,NA,NA,NA,NA,29.4,NA,NA,39.5
1991-11-01,NA,NA,30.1,NA,NA,NA,NA,30.5,NA,39.7,39.5,19.5,57.6,31.5,49.4,NA,41.9,42.7,NA,NA,NA,NA,NA,28.5,NA,NA,15.3,NA,NA,NA,NA,39,NA,NA,39.6
1991-12-01,NA,NA,36.1,NA,NA,NA,NA,19,NA,42.1,41.6,19.5,62.5,34.1,45.2,NA,50.5,44.6,NA,NA,NA,NA,NA,25.1,NA,NA,16.1,NA,NA,NA,NA,40.1,NA,NA,41.6
1992-01-01,NA,NA,34.1,NA,NA,NA,NA,24.5,NA,40.8,40.4,19.5,57.4,35.3,44,NA,44.3,45,NA,NA,NA,NA,NA,24.6,NA,NA,18.7,NA,NA,NA,NA,34.8,NA,NA,41.2
1992-02-01,NA,NA,40.5,NA,NA,NA,NA,29,NA,43.3,43,3.3,54.1,38.7,43.8,NA,44.2,53.3,NA,NA,NA,NA,NA,22.3,NA,NA,16.3,NA,NA,NA,NA,39.9,NA,NA,41.2
1992-03-01,NA,NA,41.9,NA,NA,NA,NA,31.5,NA,43.1,42.8,3.3,51.6,41.1,47.5,NA,42.4,47.8,NA,NA,NA,NA,NA,26.9,NA,NA,16.3,NA,NA,NA,NA,43,NA,NA,34.4
1992-04-01,NA,NA,43.4,NA,NA,NA,NA,31,NA,39.2,39,3.3,44,38.7,45.8,NA,53.7,43.1,NA,NA,NA,NA,NA,25.1,NA,NA,24.3,NA,NA,NA,NA,35.1,NA,NA,28
1992-05-01,NA,NA,35.6,NA,NA,NA,NA,25.5,NA,37.7,37.4,4.3,36.1,41,43.6,NA,50,43.1,NA,NA,NA,NA,NA,19.3,NA,NA,26.1,NA,NA,NA,NA,35.6,NA,NA,26.1
1992-06-01,NA,NA,36.5,NA,NA,NA,NA,24.5,NA,40,39.6,4.3,54,33.3,45.7,NA,45.2,49.1,NA,NA,NA,NA,NA,16.8,NA,NA,22.8,NA,NA,NA,NA,35.6,NA,NA,34.7
1992-07-01,NA,NA,33.1,NA,NA,NA,NA,24.5,NA,43.7,43.2,4.3,59.6,35.1,48,NA,50.6,51.5,NA,NA,NA,NA,NA,21.1,NA,NA,28.4,NA,NA,NA,NA,46.4,NA,NA,41.3
